number,docID,edinetCode,filerName,disclosureStatusFlg,xbrlFlg
274,S100395B,E02995,ケイティケイ株式会社,0,1
275,S1003DIA,E00722,福島印刷株式会社,0,1
276,S1003IC5,E03240,株式会社ライトオン,0,1
277,S1003IJO,E02896,株式会社進和,0,1
278,S1003J69,E00246,暁飯島工業株式会社,0,1
279,S1003J6E,E02478,ミクロン精密株式会社,0,1
280,S1003J2L,E00392,株式会社シベール,0,1
281,S1003J97,E03217,株式会社ファーストリテイリング,0,1
282,S1003JDK,E04981,株式会社明光ネットワークジャパン,0,1
283,S1003IGU,E00600,ヤマトインターナショナル株式会社,0,1
284,S1003IIB,E30454,日本ＢＳ放送株式会社,0,1
285,S1003JHH,E02340,マニー株式会社,0,1
286,S1003JIV,E01690,株式会社技研製作所,0,1
287,S1003JJU,E03270,株式会社コジマ,0,1
288,S1003J4I,E04706,株式会社　高滝リンクス倶楽部,0,1
289,S1003JZW,E05716,株式会社地域新聞社,0,1
290,S1003JSB,E03438,ＡＣリアルエステイト株式会社,0,1
291,S1003JZV,E03271,株式会社　ヒマラヤ,0,1
292,S1003JC8,E00327,株式会社ウエストホールディングス,0,1
293,S1003671,E25443,黒谷株式会社,0,1
294,S1003JJN,E03391,株式会社ワッツ,0,1
295,S1003K40,E03481,株式会社ビックカメラ,0,1
296,S1003K5V,E05622,株式会社メディア工房,0,1
297,S1003JJG,E01064,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,0,1
298,S1003K74,E04059,株式会社三栄建築設計,0,1
299,S1003JSJ,E00617,株式会社クラウディアホールディングス,0,1
300,S1003JUB,E03459,株式会社オンリー,0,1
301,S1003J60,E05083,株式会社アルファ,0,1
302,S1003K8A,E04656,鳴門ゴルフ株式会社,0,1
303,S1003K7U,E02238,株式会社エッチ・ケー・エス,0,1
304,S1003K8M,E26579,株式会社ハピネス・アンド・ディ,0,1
305,S1003JDN,E03000,株式会社カワサキ,0,1
306,S1003J5I,E05409,株式会社鉄人化計画,0,1
307,S1003KE6,E05338,株式会社創通,0,1
308,S1003KED,E04751,株式会社コシダカホールディングス,0,1
309,S1003JZR,E02809,ナガイレーベン株式会社,0,1
310,S1003K2F,E03471,株式会社ジンズ,0,1
311,S1003K02,E04479,株式会社ＵＳＥＮ,0,1
312,S1003K17,E02493,日創プロニティ株式会社,0,1
313,S1003KI2,E03392,フェスタリアホールディングス株式会社,0,1
314,S1003KIC,E05498,株式会社プラップジャパン,0,1
315,S1003K12,E01995,千代田インテグレ株式会社,0,1
316,S1003KJS,E00311,株式会社サンヨーハウジング名古屋,0,1
